prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
25,pear,401.5920746042953,177.7631444283487,0,223.8289301759466,100.72301857917597,123.10591159677062,70.21890331229855,5849.117740414051,25,25,16.8668671333804,13
26,pear,130.1315060777671,0,0,130.1315060777671,58.5591777349952,71.57232834277191,218.4527928663089,4730.807456941214,9,9,15.182009042406168,13
27,pear,132.4439727902551,0,0,132.4439727902551,59.59978775561479,72.8441850346403,199.81097774970513,5199.299352254219,9,9,15.451796825529762,13
28,pear,384.0745984919713,182.66058405110954,0,201.41401444086176,90.6363064983878,110.77770794247397,87.00914577666201,5923.722407757586,23,23,17.533840365937824,13
29,pear,108.87258419457774,0,0,108.87258419457774,48.99266288755998,59.87992130701776,82.7034729119498,5271.342621778209,7,7,16.330887629186662,13
0,apple,1795.4607319690356,730.5207461132086,0,1064.939985855827,479.2229936351221,585.7169922207049,0.0,8743.866806766797,44,44,42.84622201289744,14
1,apple,1236.2315611335682,732.3905955543728,0,503.8409655791954,226.72843451063795,277.1125310685575,0.0,6361.637797528064,44,44,29.500980436141983,14
2,apple,1021.3100795770519,669.6276271559366,0,351.6824524211153,158.25710358950187,193.4253488316134,0.0,5980.550139288199,38,38,28.220410093576437,14
3,apple,424.4717666338764,864.957974933153,0,-440.48620829927654,0,-440.48620829927654,1274.7659800754152,7360.747931274029,9,40,41.6031585615358,14
4,apple,1392.2574330621007,909.0700624633739,0,483.18737059872683,217.43431676942708,265.75305382929974,0.0,7287.7166219721685,49,49,29.834087851330725,14
5,apple,2349.3195635492402,801.435196618477,0,1547.8843669307632,696.5479651188434,851.3364018119198,1339.1211013276093,10593.269790886054,54,54,45.681213735679684,14
6,apple,0,498.10149082291935,0,-498.10149082291935,0,-498.10149082291935,1640.747180806744,9889.565505738647,0,38,37.9574730086362,14
7,apple,2078.3919038273807,679.1427259179378,0,1399.249177909443,629.6621300592493,769.5870478501937,810.0932195963123,9984.950032594968,47,47,46.43215955359044,14
8,apple,1949.776130011426,783.4011737177108,0,1166.374956293715,524.8687303321718,641.5062259615432,0.0,9221.355405751787,44,44,46.52874855709087,14
9,apple,663.2327728322316,498.3859028071624,0,164.84687002506922,74.18109151128115,90.66577851378807,945.7941142495016,9552.724986283962,14,37,42.926855694513115,14
10,art,304.76691082633295,0,126.10491824672441,178.66199257960852,80.39789666082383,98.26409591878469,175.25066277784035,5678.560660362546,4,4,80.0013140919124,14
11,art,230.34316002017863,0,98.02628865437237,132.31687136580626,59.542592114612816,72.77427925119345,171.53431392055188,5334.049221465122,3,3,80.62010600706252,14
12,art,236.05522465141325,0,126.6575426725029,109.39768197891036,49.22895689050966,60.1687250884007,185.52077228912412,4914.44914152125,4,4,61.96449647099598,14
13,art,151.93711383735442,0,124.19865864380273,27.738455193551687,12.482304837098258,15.256150356453428,180.4978057094559,5269.278678776624,4,4,39.88349238230553,14
14,art,130.11169765148853,0,144.22304508978758,-14.111347438299049,0,-14.111347438299049,185.2646680937789,5502.027660169,4,4,34.15432063351574,14
15,art,258.024641429849,0,130.70171820582982,127.32292322401918,57.29531545080863,70.02760777321055,185.52077228912412,5272.822010127888,4,4,67.73146837533537,14
16,art,246.05914627978908,0,124.07269486285999,121.98645141692909,54.89390313761809,67.09254827931099,193.7952939464915,5346.85323300167,4,4,64.59052589844464,14
17,art,175.31107113198374,0,98.02628865437237,77.28478247761137,34.77815211492512,42.50663036268625,185.52077228912412,5804.353345494353,3,3,61.35887489619431,14
18,art,204.4595496016614,0,129.6585598972773,74.80098970438408,33.66044536697284,41.14054433741124,178.4605839937314,5233.701476504203,4,4,53.67063177043612,14
19,art,109.13300645031731,0,128.57756370254256,-19.444557252225252,0,-19.444557252225252,201.89126770186,5241.243559875726,3,3,38.19655225761106,14
20,pear,282.86264937712775,65.18153377422486,0,217.68111560290288,97.95650202130629,119.72461358159659,57.63870998771165,6120.0041830891105,16,16,18.562861365374008,14
21,pear,315.58745288738885,98.53928549119894,0,217.0481673961899,97.67167532828546,119.37649206790445,171.0766512874978,5606.761186917159,20,20,16.56834127658792,14
22,pear,391.40905644103356,247.75144252068318,0,143.65761392035037,64.64592626415767,79.0116876561927,120.57979416291407,5427.847630579992,24,24,17.12414621929522,14
23,pear,125.00882369660431,0,0,125.00882369660431,56.25397066347194,68.75485303313238,169.3588360228384,4295.8991298102355,9,9,14.584362764603837,14
24,pear,300.1193196281938,79.52727691030071,0,220.5920427178931,99.26641922305188,121.32562349484121,88.858822556252,6692.35660239303,17,17,18.536781506447266,14
25,pear,421.6716783345098,177.7631444283487,0,243.9085339061611,109.75884025777249,134.14969364838862,51.778070008280544,5958.876580671828,25,25,17.71021049004942,14
26,pear,455.46027127218525,363.857452659548,0,91.60281861263724,41.221268375686755,50.38155023695048,163.0568739261101,4772.028725316896,30,30,15.941109494526478,14
27,pear,525.361092068012,502.7937510938488,0,22.567340974163187,10.155303438373434,12.412037535789754,162.37016874139638,5209.454655692584,34,34,16.22438666680625,14
28,pear,403.27832841657005,182.66058405110954,0,220.6177443654605,99.27798496445723,121.33975940100328,68.41019161949124,6023.000392722042,23,23,18.410532384234717,14
29,pear,440.9339659880401,331.1221666579561,0,109.811799330084,49.4153096985378,60.3964896315462,64.14506710708604,5320.757931476748,27,27,17.147432010645996,14
0,apple,2099.464878631974,889.9357746925439,0,1209.5291039394301,544.2880967727435,665.2410071666866,0.0,9288.154903539531,49,49,44.98853311354232,15
